193 154
-0.002350 -0.001740 -0.000890 
-0.002327 -0.001734 -0.000890 
-0.002303 -0.001731 -0.000890 
-0.002279 -0.001731 -0.000889 
-0.002255 -0.001733 -0.000889 
-0.002232 -0.001739 -0.000889 
-0.002209 -0.001747 -0.000890 
-0.002187 -0.001758 -0.000890 
-0.002167 -0.001771 -0.000890 
-0.002167 -0.001771 -0.001078 
-0.002167 -0.001771 -0.001265 
-0.002189 -0.001757 -0.001265 
-0.002212 -0.001746 -0.001265 
-0.002236 -0.001737 -0.001265 
-0.002261 -0.001732 -0.001265 
-0.002287 -0.001731 -0.001265 
-0.002312 -0.001732 -0.001265 
-0.002338 -0.001737 -0.001265 
-0.002362 -0.001745 -0.001265 
-0.002385 -0.001756 -0.001265 
-0.002407 -0.001769 -0.001265 
-0.002426 -0.001786 -0.001265 
-0.002444 -0.001805 -0.001265 
-0.002459 -0.001826 -0.001265 
-0.002471 -0.001848 -0.001265 
-0.002480 -0.001872 -0.001265 
-0.002486 -0.001897 -0.001265 
-0.002487 -0.001911 -0.001265 
-0.002488 -0.001924 -0.001265 
-0.002488 -0.001938 -0.001265 
-0.002487 -0.001951 -0.001265 
-0.002485 -0.001965 -0.001265 
-0.002483 -0.001978 -0.001265 
-0.002479 -0.001991 -0.001265 
-0.002474 -0.002004 -0.001265 
-0.002469 -0.002017 -0.001265 
-0.002463 -0.002029 -0.001265 
-0.002455 -0.002040 -0.001265 
-0.002448 -0.002051 -0.001265 
-0.002439 -0.002062 -0.001265 
-0.002430 -0.002072 -0.001265 
-0.002420 -0.002081 -0.001265 
-0.002409 -0.002090 -0.001265 
-0.002409 -0.002090 -0.001078 
-0.002409 -0.002090 -0.000890 
-0.002420 -0.002081 -0.000890 
-0.002430 -0.002072 -0.000890 
-0.002439 -0.002062 -0.000890 
-0.002448 -0.002051 -0.000890 
-0.002455 -0.002040 -0.000890 
-0.002463 -0.002029 -0.000890 
-0.002469 -0.002017 -0.000890 
-0.002474 -0.002004 -0.000890 
-0.002479 -0.001991 -0.000890 
-0.002483 -0.001978 -0.000890 
-0.002485 -0.001965 -0.000890 
-0.002487 -0.001951 -0.000890 
-0.002488 -0.001938 -0.000890 
-0.002488 -0.001924 -0.000890 
-0.002487 -0.001911 -0.000890 
-0.002486 -0.001897 -0.000890 
-0.002483 -0.001884 -0.000890 
-0.002479 -0.001871 -0.000890 
-0.002475 -0.001858 -0.000890 
